filename	ref	meta	metareads	baseCovSum	coveredBases	totalBases	AvgCov
mappingResults/GEODES117-bin.116-vs-GEODES117.depth	GEODES117-bin.116	GEODES117	191275000	16296483	2084744	2087346	7.80727440491
mappingResults/GEODES117-bin.116-vs-GEODES118.depth	GEODES117-bin.116	GEODES118	184089594	15860089	2075353	2087346	7.59820796361
mappingResults/GEODES117-bin.15-vs-GEODES117.depth	GEODES117-bin.15	GEODES117	191275000	110951019	3804461	3804836	29.1605259727
mappingResults/GEODES117-bin.15-vs-GEODES118.depth	GEODES117-bin.15	GEODES118	184089594	106325912	3803808	3804836	27.9449395454
mappingResults/GEODES117-bin.166-vs-GEODES117.depth	GEODES117-bin.166	GEODES117	191275000	31343762	3184190	3187599	9.83303169564
mappingResults/GEODES117-bin.166-vs-GEODES118.depth	GEODES117-bin.166	GEODES118	184089594	29952651	3171148	3187599	9.39661826974
mappingResults/GEODES117-bin.173-vs-GEODES117.depth	GEODES117-bin.173	GEODES117	191275000	47459181	3690642	3692422	12.853130276
mappingResults/GEODES117-bin.173-vs-GEODES118.depth	GEODES117-bin.173	GEODES118	184089594	49869500	3688523	3692422	13.5059047964
mappingResults/GEODES117-bin.200-vs-GEODES117.depth	GEODES117-bin.200	GEODES117	191275000	20312363	1818233	1820949	11.1548225678
mappingResults/GEODES117-bin.200-vs-GEODES118.depth	GEODES117-bin.200	GEODES118	184089594	20330715	1810928	1820949	11.1649008292
mappingResults/GEODES117-bin.31-vs-GEODES117.depth	GEODES117-bin.31	GEODES117	191275000	86243429	1999366	1999542	43.1315916345
mappingResults/GEODES117-bin.31-vs-GEODES118.depth	GEODES117-bin.31	GEODES118	184089594	81626249	1999280	1999542	40.8224728463
mappingResults/GEODES117-bin.56-vs-GEODES117.depth	GEODES117-bin.56	GEODES117	191275000	44736981	2025671	2026044	22.0809523386
mappingResults/GEODES117-bin.56-vs-GEODES118.depth	GEODES117-bin.56	GEODES118	184089594	45664849	2024950	2026044	22.5389226493
mappingResults/GEODES117-bin.5-vs-GEODES117.depth	GEODES117-bin.5	GEODES117	191275000	50492979	3185094	3186763	15.8445981079
mappingResults/GEODES117-bin.5-vs-GEODES118.depth	GEODES117-bin.5	GEODES118	184089594	59833408	3184356	3186763	18.7756064696
mappingResults/GEODES117-bin.77-vs-GEODES117.depth	GEODES117-bin.77	GEODES117	191275000	27712345	2454475	2456665	11.2804737317
mappingResults/GEODES117-bin.77-vs-GEODES118.depth	GEODES117-bin.77	GEODES118	184089594	37727024	2451799	2456665	15.3570079763
mappingResults/GEODES117-bin.84-vs-GEODES118.depth	GEODES117-bin.84	GEODES118	184089594	58454476	2872685	2873507	20.3425556298
mappingResults/GEODES117-bin.96-vs-GEODES117.depth	GEODES117-bin.96	GEODES117	191275000	11478213	1715405	1717834	6.68179404995
mappingResults/GEODES117-bin.96-vs-GEODES118.depth	GEODES117-bin.96	GEODES118	184089594	11423373	1698727	1717834	6.64987012715
mappingResults/GEODES118-bin.101-vs-GEODES117.depth	GEODES118-bin.101	GEODES117	191275000	23026969	3691438	3736886	6.16207425113
mappingResults/GEODES118-bin.101-vs-GEODES118.depth	GEODES118-bin.101	GEODES118	184089594	29155633	3733062	3736886	7.80212000045
mappingResults/GEODES118-bin.118-vs-GEODES117.depth	GEODES118-bin.118	GEODES117	191275000	5695303	783708	792023	7.1908303168
mappingResults/GEODES118-bin.118-vs-GEODES118.depth	GEODES118-bin.118	GEODES118	184089594	7446358	791100	792023	9.40169414272
mappingResults/GEODES118-bin.127-vs-GEODES117.depth	GEODES118-bin.127	GEODES117	191275000	28977370	3203725	3217444	9.00633235575
mappingResults/GEODES118-bin.127-vs-GEODES118.depth	GEODES118-bin.127	GEODES118	184089594	34010001	3214702	3217444	10.5705028588
mappingResults/GEODES118-bin.153-vs-GEODES117.depth	GEODES118-bin.153	GEODES117	191275000	18529584	3245101	3286338	5.6383682993
mappingResults/GEODES118-bin.153-vs-GEODES118.depth	GEODES118-bin.153	GEODES118	184089594	20729975	3284524	3286338	6.30792541729
mappingResults/GEODES118-bin.15-vs-GEODES117.depth	GEODES118-bin.15	GEODES117	191275000	16992969	2591681	2612078	6.50553658811
mappingResults/GEODES118-bin.15-vs-GEODES118.depth	GEODES118-bin.15	GEODES118	184089594	19820127	2610500	2612078	7.5878771614
mappingResults/GEODES118-bin.162-vs-GEODES118.depth	GEODES118-bin.162	GEODES118	184089594	29876415	1157277	1157358	25.8143245219
mappingResults/GEODES118-bin.177-vs-GEODES117.depth	GEODES118-bin.177	GEODES117	191275000	30317254	1755198	1755684	17.2680584889
mappingResults/GEODES118-bin.177-vs-GEODES118.depth	GEODES118-bin.177	GEODES118	184089594	30922136	1755602	1755684	17.6125863196
mappingResults/GEODES118-bin.180-vs-GEODES117.depth	GEODES118-bin.180	GEODES117	191275000	69884176	3813279	3814434	18.3209818285
mappingResults/GEODES118-bin.180-vs-GEODES118.depth	GEODES118-bin.180	GEODES118	184089594	58565265	3813550	3814434	15.3535924334
mappingResults/GEODES118-bin.181-vs-GEODES117.depth	GEODES118-bin.181	GEODES117	191275000	24609666	1928272	1934763	12.719731564
mappingResults/GEODES118-bin.181-vs-GEODES118.depth	GEODES118-bin.181	GEODES118	184089594	23788443	1932800	1934763	12.2952749251
mappingResults/GEODES118-bin.186-vs-GEODES117.depth	GEODES118-bin.186	GEODES117	191275000	45386869	2585342	2586693	17.5462913457
