filename	ref	meta	metareads	baseCovSum	coveredBases	totalBases	AvgCov
mappingResults/GEODES057-bin.109-vs-GEODES057.depth	GEODES057-bin.109	GEODES057	112268666	43739413	3728731	3730327	11.7253562489
mappingResults/GEODES057-bin.109-vs-GEODES058.depth	GEODES057-bin.109	GEODES058	120987336	44663562	3725610	3730327	11.9730956562
mappingResults/GEODES057-bin.136-vs-GEODES057.depth	GEODES057-bin.136	GEODES057	112268666	9057720	1304453	1305349	6.93892591177
mappingResults/GEODES057-bin.136-vs-GEODES058.depth	GEODES057-bin.136	GEODES058	120987336	10732898	1299780	1305349	8.2222440129
mappingResults/GEODES057-bin.144-vs-GEODES057.depth	GEODES057-bin.144	GEODES057	112268666	15444747	1387080	1387311	11.132865666
mappingResults/GEODES057-bin.144-vs-GEODES058.depth	GEODES057-bin.144	GEODES058	120987336	15032762	1386572	1387311	10.8358990882
mappingResults/GEODES057-bin.22-vs-GEODES057.depth	GEODES057-bin.22	GEODES057	112268666	42085468	3830490	3831065	10.9853181818
mappingResults/GEODES057-bin.22-vs-GEODES058.depth	GEODES057-bin.22	GEODES058	120987336	45836313	3830163	3831065	11.9643788346
mappingResults/GEODES057-bin.26-vs-GEODES057.depth	GEODES057-bin.26	GEODES057	112268666	14548933	2046666	2048279	7.1030035459
mappingResults/GEODES057-bin.26-vs-GEODES058.depth	GEODES057-bin.26	GEODES058	120987336	13055091	2032742	2048279	6.37368786186
mappingResults/GEODES057-bin.32-vs-GEODES057.depth	GEODES057-bin.32	GEODES057	112268666	22654939	2711675	2712509	8.35202353246
mappingResults/GEODES057-bin.32-vs-GEODES058.depth	GEODES057-bin.32	GEODES058	120987336	24049928	2707126	2712509	8.86630348508
mappingResults/GEODES057-bin.33-vs-GEODES057.depth	GEODES057-bin.33	GEODES057	112268666	12464724	1886411	1887547	6.60366284919
mappingResults/GEODES057-bin.33-vs-GEODES058.depth	GEODES057-bin.33	GEODES058	120987336	8569714	1847165	1887547	4.5401327755
