IMG_OID,Genome_Name,Lake,Taxonomy,Genome_Size,Est_Completeness,GC_Content,Codon_Usage,Amino_Acid_Bias,Gene_Count
2582580518,ME00112,Mendota,Cyanobacteria;[Blank];[Blank];;;,3123153,80.02,0.3721,0.305154,1.671,2941
2582580525,ME01300,Mendota,Cyanobacteria;[Blank];[Blank];;;,2333569,86.65,0.6878,0.468073,1.747,2527
2582580531,ME14445,Mendota,Cyanobacteria;[Blank];[Blank];;;,3309584,90.79,0.5768,0.258171,1.702,3116
2582580537,ME01627,Mendota,Cyanobacteria;[Blank];[Blank];;;,4154717,93.36,0.3971,0.308769,1.666,3798
2582580551,ME02353,Mendota,Cyanobacteria;[Blank];[Blank];;;,3350202,87.92,0.6514,0.368305,1.747,3378
2582580552,ME02384,Mendota,Cyanobacteria;[Blank];[Blank];;;,4193130,81.55,0.4197,0.269943,1.677,4197
2582580567,ME33807,Mendota,Cyanobacteria;[Blank];[Blank];;;,2003587,64.47,0.3955,0.23555,1.681,2054
2582580576,ME04498,Mendota,Cyanobacteria;[Blank];[Blank];;;,2772794,92.14,0.6405,0.321237,1.737,2887
2582580577,ME04500,Mendota,Cyanobacteria;[Blank];[Blank];;;,2819350,94.63,0.6756,0.433521,1.763,3018
2582580584,ME00548,Mendota,Cyanobacteria;[Blank];[Blank];;;,4099996,83.22,0.3805,0.304923,1.669,3951
2582580591,ME06097,Mendota,Cyanobacteria;[Blank];[Blank];;;,1913277,84.53,0.3583,0.250741,1.645,1782
